Date,Close
1896-05-27,29.39
1896-05-28,29.11
1896-05-29,29.43
1896-06-01,29.4
1896-06-02,29.0
1896-06-03,28.8
1896-06-04,28.93
1896-06-05,29.2
1896-06-08,28.83
1896-06-09,28.49
1896-06-10,27.82
1896-06-11,28.54
1896-06-12,28.47
1896-06-15,28.92
1896-06-16,29.3
1896-06-17,29.36
1896-06-18,28.8
1896-06-19,28.99
1896-06-22,28.05
1896-06-23,27.62
1896-06-24,27.72
1896-06-25,27.5
1896-06-26,27.44
1896-06-29,25.73
1896-06-30,26.18
1896-07-01,25.05
1896-07-02,25.28
1896-07-03,25.16
1896-07-06,25.25
1896-07-07,25.46
1896-07-08,25.49
1896-07-09,25.12
1896-07-10,25.23
1896-07-13,25.12
1896-07-14,24.21
1896-07-15,23.38
1896-07-16,23.14
1896-07-17,23.13
1896-07-20,22.09
1896-07-21,22.22
1896-07-22,23.17
1896-07-23,23.39
1896-07-24,22.84
1896-07-27,22.78
1896-07-28,22.32
1896-07-29,22.43
1896-07-30,22.8
1896-07-31,23.19
1896-08-03,22.81
1896-08-04,22.44
1896-08-05,22.4
1896-08-06,21.72
1896-08-07,20.76
1896-08-10,20.97
1896-08-11,21.94
1896-08-12,21.27
1896-08-13,22.0
1896-08-14,22.26
1896-08-17,22.5
1896-08-18,22.44
1896-08-19,22.68
1896-08-20,22.25
1896-08-21,22.13
1896-08-24,22.21
1896-08-25,22.17
1896-08-26,21.94
1896-08-27,21.95
1896-08-28,22.36
1896-08-31,23.15
1896-09-01,23.19
1896-09-02,24.26
1896-09-03,24.48
1896-09-04,25.13
1896-09-08,25.71
1896-09-09,25.63
1896-09-10,25.04
1896-09-11,25.57
1896-09-14,25.25
1896-09-15,24.72
1896-09-16,24.13
1896-09-17,24.86
1896-09-18,25.21
1896-09-21,25.73
1896-09-22,25.78
1896-09-23,25.91
1896-09-24,26.24
1896-09-25,26.51
1896-09-28,26.33
1896-09-29,26.31
1896-09-30,26.11
1896-10-01,26.08
1896-10-02,25.99
1896-10-05,26.02
1896-10-06,26.01
1896-10-07,25.57
1896-10-08,25.65
1896-10-09,25.32
1896-10-12,25.16
1896-10-13,26.2
1896-10-14,26.18
1896-10-15,26.22
1896-10-16,26.26
1896-10-19,26.44
1896-10-20,27.1
1896-10-21,27.03
1896-10-22,27.42
1896-10-23,27.88
1896-10-26,28.04
1896-10-27,28.16
1896-10-28,27.8
1896-10-29,27.34
1896-10-30,28.54
1896-11-02,29.64
1896-11-04,30.99
1896-11-05,30.32
1896-11-06,31.38
1896-11-09,32.19
1896-11-10,32.27
1896-11-11,32.11
1896-11-12,32.52
1896-11-13,32.23
1896-11-16,31.57
1896-11-17,31.57
1896-11-18,31.6
1896-11-19,31.46
1896-11-20,31.32
1896-11-23,31.11
1896-11-24,30.93
1896-11-25,30.76
1896-11-27,30.35
1896-11-30,29.69
1896-12-01,30.4
1896-12-02,30.38
1896-12-03,30.58
1896-12-04,30.47
1896-12-07,30.11
1896-12-08,30.13
1896-12-09,30.26
1896-12-10,30.04
1896-12-11,30.0
1896-12-14,29.27
1896-12-15,28.61
1896-12-16,28.94
1896-12-17,29.55
1896-12-18,27.95
1896-12-21,28.83
1896-12-22,28.63
1896-12-23,28.8
1896-12-24,28.98
1896-12-28,29.07
1896-12-29,29.35
1896-12-30,29.42
1896-12-31,29.3
1897-01-04,29.24
1897-01-05,29.6
1897-01-06,29.66
1897-01-07,29.6
1897-01-08,29.67
1897-01-11,29.51
1897-01-12,29.98
1897-01-13,30.02
1897-01-14,30.27
1897-01-15,30.61
1897-01-18,30.97
1897-01-19,31.32
1897-01-20,30.98
1897-01-21,30.8
1897-01-22,30.72
1897-01-25,30.35
1897-01-26,30.58
1897-01-27,30.57
1897-01-28,30.33
1897-01-29,30.46
1897-02-01,30.69
1897-02-02,30.43
1897-02-03,30.37
1897-02-04,29.91
1897-02-05,29.86
1897-02-08,29.77
1897-02-09,29.38
1897-02-10,29.38
1897-02-11,29.17
1897-02-15,28.78
1897-02-16,29.19
1897-02-17,29.19
1897-02-18,29.2
1897-02-19,29.17
1897-02-23,29.47
1897-02-24,29.52
1897-02-25,29.12
1897-02-26,29.9
1897-03-01,30.19
1897-03-02,30.33
1897-03-03,30.51
1897-03-04,29.94
1897-03-05,30.02
1897-03-08,30.35
1897-03-09,30.14
1897-03-10,30.27
1897-03-11,30.38
1897-03-12,30.45
1897-03-15,30.48
1897-03-16,30.37
1897-03-17,30.06
1897-03-18,30.13
1897-03-19,29.78
1897-03-22,29.98
1897-03-23,29.59
1897-03-24,29.4
1897-03-25,29.39
1897-03-26,29.02
1897-03-29,28.34
1897-03-30,28.87
1897-03-31,28.59
1897-04-01,28.8
1897-04-02,28.83
1897-04-05,28.78
1897-04-06,28.66
1897-04-07,28.77
1897-04-08,29.24
1897-04-09,29.12
1897-04-12,28.93
1897-04-13,29.28
1897-04-14,28.8
1897-04-15,28.54
1897-04-19,27.88
1897-04-20,28.02
1897-04-21,28.18
1897-04-22,27.93
1897-04-23,27.88
1897-04-26,28.41
1897-04-28,28.26
1897-04-29,28.25
1897-04-30,28.22
1897-05-03,28.09
1897-05-04,28.59
1897-05-05,28.38
1897-05-06,28.64
1897-05-07,28.67
1897-05-10,28.93
1897-05-11,28.9
1897-05-12,28.75
1897-05-13,28.44
1897-05-14,28.2
1897-05-17,28.01
1897-05-18,28.39
1897-05-19,28.1
1897-05-20,28.01
1897-05-21,28.12
1897-05-24,28.48
1897-05-25,28.39
1897-05-26,28.64
1897-05-27,28.4
1897-05-28,28.71
1897-06-01,28.98
1897-06-02,29.13
1897-06-03,29.17
1897-06-04,29.35
1897-06-07,29.93
1897-06-08,30.23
1897-06-09,30.57
1897-06-10,30.69
1897-06-11,30.81
1897-06-14,31.11
1897-06-15,31.0
1897-06-16,30.7
1897-06-17,30.92
1897-06-18,31.19
1897-06-21,30.87
1897-06-22,31.0
1897-06-23,31.27
